iter	RMSE
0	3.175354344
1	3.142067578
2	3.109616281
3	3.077524169
4	3.047157131
5	3.016209094
6	2.982848485
7	2.953819283
8	2.921091141
9	2.884786649
10	2.856260361
11	2.831104016
12	2.810814944
13	2.786338923
14	2.758390773
15	2.721015614
16	2.692342854
17	2.672431942
18	2.647006102
19	2.626966613
20	2.602829664
21	2.581077678
22	2.556010998
23	2.534863206
24	2.518411462
25	2.500272708
26	2.476533889
27	2.456541283
28	2.438397399
29	2.416105276
30	2.395866936
31	2.37755856
32	2.364164269
33	2.340542263
34	2.319619658
35	2.302854294
36	2.286459914
37	2.267818659
38	2.256273749
39	2.240480625
40	2.22090154
41	2.205253218
42	2.190273738
43	2.174439012
44	2.161895732
45	2.145834259
46	2.131218244
47	2.119259687
48	2.104533969
49	2.091262092
50	2.076551	2.104796011
52	2.052	2.053853	2.053	2.033954	2.054	2.026555	2.055	2.015556	2.056	2.007757	2.057	1.999858	2.058	1.987759	2.059	1.975760	1.960	1.966961	1.961	1.955962	1.962	1.939963	1.963	1.932564	1.964	1.924265	1.965	1.915166	1.966	1.906467	1.967	1.892968	1.968	1.883569	1.69	1.8732870	1.70	1.8646071	171	1.85728772	172	1.84617073	173	1.83768274	174	1.82829375	175	1.81846876	176	1.80915477	177	1.79709378	178	1.78892779	179	1.78179480	180	1.773236727
81	1.765829385
82	1.760591123
83	1.753005796
84	1.745890657
85	1.7366086	1.86	1.7311187	1.87	1.725688	1.788	1.716689	1.789	1.703390	1.725022341
91	1.719417403
92	1.792	1.685293	1.793	1.675994	1.694	1.666895	1.695	1.660396	1.696	1.654997	1.678757926
98	1.670270198
99	1.664647932
100	1.657120713
101	1.101	1.6139102	1.102	1.6089103	1.103	1.6007104	1.104	1.5946105	1.626680242
106	1.617803619
107	1.6120821
108	1.60108	1.56109	1.60109	1.56110	1.595390429
111	1.590304746
112	1.585512313
113	1.579940479
114	1.575578706
115	1.57058162
116	1.566348838
117	1.556104135
118	1.552274064
119	1.547909931
120	1.5411042
121	1.537148837
122	1.529101924
123	1.523407707
124	1.518687527
125	1.512242317
126	1.507727874
127	1.50265036
128	1.496033067
129	1.490092346
130	1.482770906
131	1.479863884
132	1.475936852
133	1.472098868
